 telegram_id,telegram_username,plan,subscription_status,is_active,profile_ready,registered_at,deliveries_total,breakdowns_total,expertise,target_roles,anti_roles,industries_interested,industries_experience,seniority,years_of_experience,work_format,location,location_preferences,min_monthly,salary_expectations,languages,ideal_work_description,additional_context
176648244,aseykina,free,free,True,True,2026-06-22,6,0,"Product management in EdTech/HRTech, Education operations scaling, Curriculum design and development, P&L management and unit economics, Cross-functional team leadership (25+ people), B2B corporate learning programs, Internship/career support platform development (0 to 1), Growth strategy development and execution, Stakeholder management, B2B sales and account management, Program production end-to-end","Head of Product, Head of Business Unit, General Manager, COO, Director of Operations, VP of Product, Product Lead, Head of EdTech / HRTech product","Technical Project Manager, Analytics / Data team lead, Individual Contributor (IC) without team and P&L ownership","EdTech, HRTech, WorkTech, Social Media",,Senior / Head / Director level,,,,"{""notes"": ""Удалёнка или физически в Дубае + командировки. К релокации не готова. США — не приоритет."", ""cities"": [""Dubai""], ""countries"": [""UAE"", ""MENA"", ""Europe"", ""LATAM""], ""remote_ok"": true, ""relocation"": false}",,,"Russian (native), English (professional)","Хочет развиваться как владелец продукта или бизнес-юнита — с растущей зоной ответственности: команда, рынки, выручка. В идеале — роль операционного руководителя или лидера продукта/сервиса, особенно там, где нужно запустить с нуля или заниматься пересборкой/ростом. Интересны международные компании с русскими или СНГ-корнями (Miro, Yango, Nebius и подобные), но не ограничивается ими. Бизнесы, где одинаково важны структура и внимание к людям — EdTech, HRTech, WorkTech, Social Media, или схожие функции внутри других компаний.",
1058910676,aquariumlifee,free,free,True,True,2026-07-22,7,0,"React 18, Next.js (App Router), TypeScript — основной стек, Vue 3 + Pinia, Redux Toolkit, RTK Query, MobX, React Query — управление состоянием и data-fetching, GraphQL, REST API, WebSocket, TailwindCSS, Radix UI, Material UI, Ant Design, Styled Components, React Hook Form, Zod — формы и валидация, TanStack Table, Recharts — таблицы и визуализация данных, Проектирование масштабируемой frontend-архитектуры, дизайн-системы, Технический лидер: code review, менторство, декомпозиция задач, AI-assisted development (Cursor, Claude Code), Performance-оптимизация, Core Web Vitals, Monorepo (Bun Workspaces), Docker, GitLab CI, Jest, Vitest, Puppeteer, Cucumber — тестирование, Геосервисы: Google Maps API, 2GIS MapGL, SSR/SSG стратегии рендеринга в Next.js, Мультиязычность (i18n), mobile-first, WebView-интеграция","Frontend Developer, Senior Frontend Developer",,"Финтех, E-commerce, Enterprise / data-heavy системы, SaaS / продуктовые компании",,Senior / Tech Lead,,,,"{""cities"": [""Минск""], ""countries"": [""Беларусь""], ""remote_ok"": true, ""preferred_team_language"": ""русскоязычная команда""}",,,"Русский — C2, Английский — B1, Белорусский — родной",,
1328983336,mill_corn,grandfather,grandfather,True,True,2026-06-18,126,0,"Бренд-менеджмент и развитие бренда, PR-стратегия и реализация PR-кампаний, Вывод брендов на маркетплейсы (e-commerce), Разработка рекламных и визуальных материалов, Копирайтинг и написание пресс-релизов, Медиапланирование, Работа с данными: Google Analytics, Yandex.Metrica, Power BI, Анализ финансовой отчётности и аудит, Исследования рынка, Digital Marketing","Бренд-менеджер, PR-менеджер, Маркетолог-аналитик, Менеджер по маркетингу, Интернет-маркетолог","Аудитор / финансовый аналитик, Бренд-менеджер с полной P&L ответственностью, PR в агентстве с хаосом и переработками, Любая роль с обязательным офисом 5/5, Роли с жёстким микроменеджментом и тотальной слежкой","Спорт, Wellness, Загородные отели, Онлайн-школы, Туризм, СПА, Косметика/beauty",,"Middle (25 лет, ~4 года суммарного опыта)",,,,"{""cities"": [""Москва""], ""countries"": [""Любая страна""], ""remote_ok"": true, ""relocation"": false, ""business_trips"": false, ""remote_worldwide"": true}",,,"Русский — родной, Английский — B2, Украинский — C1, Французский — B1",,
791447594,Gugush284,free,free,False,True,2026-07-30,202,0,"Go (Golang), Python, Backend architecture design, CyberSecurity / Intrusion Prevention Systems, Post Quantum Cryptography (PQC), Certificate Authority development, Key Management Systems (KMS), REST API design, PostgreSQL, RabbitMQ, Redis, Docker, Kubernetes, FastAPI, Grafana","Senior Backend Engineer, Senior Golang Engineer",,"Fintech, E-commerce",,Senior,,,,"{""cities"": [""Белград""], ""formats"": [""remote"", ""hybrid""], ""countries"": [""любая страна кроме РФ и РБ""], ""remote_ok"": true}",,,,"Хочет работать в крупной компании или компании с R&D-уклоном. Привлекает масштаб и глубина задач — технически сложные задачи, где можно копать вглубь, а не просто доставлять фичи.",
772843097,Keny371,free,free,True,True,2026-06-30,0,0,"Работа с морепродуктами, Открытие ресторанов с нуля, Операционное управление кухней, Разработка меню, Управление командой кухни, Бригадирство и су-шеф функции","Шеф-повар, Операционный шеф-повар, Старший су-шеф","Шеф в суши/роллы заведении, Шеф в пиццерии, Шеф в бургерной, Шеф в ночном заведении, Шеф в чайхане или заведении с гигантским меню",,,"Senior / Head (12 лет опыта, операционный шеф-повар)",,,,"{""cities"": [""Москва"", ""Санкт-Петербург"", ""Архангельск""], ""countries"": [""Россия""], ""remote_ok"": false}",,,Русский — родной,"Работа шеф-поваром или операционным шефом в чужом заведении. Классный проект с сильной концепцией, высоким уровнем кухни, хорошей командой и атмосферой. Особый интерес к морепродуктам. Не суши/роллы, не пицца, не бургеры.",
257372460,etrush,free,free,True,True,2026-07-23,9,1,"Web, Mobile, API & Backend Testing, Functional, Regression, Integration & E2E Testing, Shift-Left & Risk-Based Testing, Test automation (regression, E2E), AI/LLM integration in QA workflows, Impact analysis and test plan creation, Data migration testing, SQL / PostgreSQL, REST API testing (Postman, Swagger), QA Team Lead / управление командой QA, Test case generation with AI (ChatGPT, Claude Code, OpenAI Codex), CI/CD инструменты (GitHub, Jenkins), Мониторинг и логирование (Kibana, Sentry)","QA Team Lead, Lead QA Engineer, Senior QA Engineer (с лид-функциями), Senior QA, Middle QA, Middle+ QA",,,,Middle / Middle+ / Senior / Team Lead,,,,"{""cities"": [""Barcelona""], ""countries"": [""Spain""], ""hybrid_ok"": true, ""remote_ok"": true, ""hybrid_cities"": [""Barcelona and nearby""]}",,,"Русский (родной), Английский (Professional Working Proficiency / B2+)",,
747284617,ania_vasss,grandfather,grandfather,True,False,2026-06-15,0,0,,,,,,,,,,,,,,"Создавать и поддерживать финансовые модели и модели планирования в Optimacros в составе внутреннего центра компетенций. Работа на стороне компании, а не в консалтинге — важно погружение в один бизнес изнутри, без постоянного переключения между клиентами.",
708295101,puniapple,grandfather,grandfather,True,True,2026-06-15,112,2,"Развитие бизнеса (Business Development), Запуск новых направлений и продуктов, Выход в новые ниши, Рыночный рисёрч и анализ рынка, Проектирование бизнес-моделей, A/B-тестирование и анализ результатов, Unit-экономика, Discovery, Экономическая оценка проектов (M&A, 3P-партнёрства), Кросс-функциональное управление, Управление партнёрствами, Переговоры Top2Top, Медиапланирование и маркетинговые метрики (CPC, CPM, ROMI), Прайсинг и построение медиакита, Запуск и масштабирование MVP, AI-инструменты для исследований и автоматизации, Data-driven подход и анализ данных","Growth Manager / Head of Growth, New Ventures, Head of New Products, Product Strategy (продуктовая / рыночная, не корпоративная)","Sales Manager (B2C / B2B), Account Manager, Корпоративный стратег (общекорпоративная стратегия в PowerPoint)","AdTech / рекламные инструменты, EdTech (онлайн-обучение, корпоративное образование, не классические школы/вузы)",,"Middle+/Senior — около 3.5 лет опыта в BD/партнёрствах в крупных tech-компаниях (Иви, Яндекс Плюс, Т-Банк)",,,,"{""notes"": ""Рассматривает релокацию, но приоритет на русскоязычные команды без требования английского в работе"", ""cities"": [], ""countries"": [], ""remote_ok"": true, ""relocation_open"": true}",,,"Русский — родной, приоритет на русскоязычные команды, Английский — рассматривает вакансии на английском, если основной бизнес и команда русскоязычные, а английский нужен для выхода на глобальный рынок","Хочет запускать новые продукты на рынок или выводить существующие в новые ниши. Быть ближе к бизнесу, чем к технике. Любит рисёрчить рынок, придумывать бизнес-модели, проектировать тесты и путь пользователя. Не хочет заниматься прямыми продажами — ни B2C, ни B2B.",
621648831,natallia_demenkova,grandfather,grandfather,True,False,2026-06-16,0,0,,,,,,,,,,,,,,"Хочет искать новые партнёрства, общаться с людьми. Не хочет неадекватных KPI, оторванных от реальности рынка. Хочет творческих проектов, где не будет скучно — разнообразие и свобода действий важны.",
714566867,NatalyGe,grandfather,grandfather,True,False,2026-06-17,16,0,,,,,,,,,,,,,,"Активная работа с движением и разнообразием, много живого общения, возможность узнавать новое и делиться этим с другими — объяснять, рассказывать, передавать. Важна эстетика и интеллигентная атмосфера. Умение задавать вопросы и разбираться в сути вещей — ключевое. Нет: монотонная рутина, хаос, многозадачность, работа с цифрами.",
354848470,igor_risanov,free,free,True,False,2026-07-04,0,0,"B2B/B2C/B2G продажи, Управление отделом продаж, Холодные и корпоративные продажи, Международная логистика и импорт, Таможенное сопровождение, Оптимизация логистических цепочек, Переговоры и заключение контрактов, Управление командами, Анализ рынка и ценообразование, SERM/ORM/PR продажи, Работа с 1С и CRM-системами, Тендерная документация",,,"FMCG, Логистика и ВЭД, Строительные материалы, Бизнес-услуги",,"Senior / Team Lead (8 лет опыта, опыт РОПа и зам. РОПа)",,,,"{""cities"": [""Ереван""], ""countries"": [""Армения"", ""Россия"", ""готов к переезду""], ""remote_ok"": true}",,,"Русский (родной), Английский (B2), Армянский (базовый)",,
361850149,qqnastas,free,free,False,True,2026-06-27,29,0,"Координация операционных и продуктовых процессов, Кросс-функциональное взаимодействие (бизнес, разработка, маркетинг, контент), Запуск новых продуктов и партнёрских интеграций, Сопровождение API-интеграций, Оптимизация и автоматизация процессов, Работа с BI-системами и аналитика бизнес-показателей, Управление задачами и документацией (Jira, Notion, Miro), SQL (базовый уровень), CMS (ModX), Prompt engineering / работа с AI-инструментами, Google Sheets / MS Excel, Bitrix24, YouGile, UAT, product discovery, product documentation","Operations & Project Coordinator, Product Operations, Operations Manager, Integration Coordinator, Junior Product Manager, Business Analyst (с фокусом на процессы и кросс-функциональное взаимодействие)","Чисто операционные роли без возможности влиять на процессы, Административная поддержка и документооборот, Роли с только ручными однотипными операциями без развития, Изолированная работа без кросс-функционального взаимодействия","Travel-tech, iGaming, Fintech, Entertainment, SaaS, Цифровые продукты",,"Junior / Middle — около 1,5 лет опыта в текущей роли, первая профессиональная позиция после ВШЭ (востоковедение)",,,,"{""cities"": [""Санкт-Петербург""], ""countries"": [""Россия"", ""Европа"", ""Кипр""], ""remote_ok"": true, ""relocation"": true, ""relocation_notes"": ""Релокация — возможность, а не ограничение. Приоритет: Европа и Кипр. США не рассматривает.""}",,,"Русский — родной, English — C1, German — B2, Korean — B1, Hebrew — A2","Работа на стыке людей, процессов и продукта. Нравится разбираться, как всё устроено, находить узкие места, выстраивать понятные процессы и договариваться между командами. Особенно интересно участие в запуске и развитии новых продуктов: сбор требований, координация между бизнесом и разработкой, работа с данными, проверка гипотез, улучшение пользовательского опыта. Важно не просто выполнять операционные задачи, а влиять на процессы и предлагать изменения. Комфортная среда — кросс-функциональная, с высоким доверием и самостоятельностью. Важно видеть общую цель и влияние своей работы на результат, иметь возможность брать новые зоны ответственности и развиваться вместе с продуктом и командой. Открыта как к Product Ops и операционным ролям, так и к junior-позициям в продукте. Дополнительный интерес: автоматизация, аналитика и AI-инструменты.",
1287219540,freeofchargge,grandfather,grandfather,True,False,2026-06-17,0,0,"Market research and competitive analysis, Strategic planning and growth strategy, M&A target screening and pipeline building, Financial modeling (basic), Investor presentations and fundraising materials, Equity research and valuation multiples (EV/EBITDA, EV/S, P/E), Data visualization and infographics (Figma, PowerPoint), Structured problem solving (consulting-style), Business case development","Стратегический аналитик, Проектный менеджер, Менеджер проектного опыта, Инвестиционный аналитик, M&A аналитик","Бухгалтерия и бухучёт, Продуктовая аналитика","Фармацевтика, Недвижимость, Банкинг и финансовые услуги",,"Junior / Early career (student, ~1.5 years of work experience)",,,,"{""cities"": [""Санкт-Петербург"", ""Москва""], ""countries"": [""Россия"", ""зарубежные локации — открыт""], ""remote_ok"": true}",,,"Russian (native), English (B2)","Хочет заниматься развитием бизнеса на стыке с финансами: стратегия роста, M&A, оптимизация, biz dev. Не чисто аналитика и не чисто операционка — именно пересечение финансовой экспертизы и бизнес-развития.",
179370688,klevernaja,grandfather,grandfather,False,False,2026-06-17,0,0,,,,,,,,,,,,,,"Делать процессы и людей лучше, видеть результат своей работы, анализировать данные, предлагать нововведения и придумывать новое.",
1093050874,OutOfMemoryException0,free,free,True,False,2026-07-26,0,0,"Java (8, 11, 17, 21), Spring Boot / Spring MVC / Spring Security / Spring Cloud / Spring Data, REST API, gRPC, Apache Kafka, RabbitMQ (event-driven architecture), PostgreSQL, MySQL (сложные запросы, оптимизация, транзакции), MongoDB, Redis, Hibernate/JPA, Flyway, Liquibase, Docker, Docker Compose, Kubernetes, GitLab CI/CD, Jenkins, Prometheus, Grafana, ELK Stack, JUnit, Mockito (unit-тестирование), Elasticsearch (полнотекстовый поиск, фасетная фильтрация), Spring AI, Apache POI, Web3j, Ethereum/EVM, Микросервисная и монолитная архитектура, Рефакторинг legacy-кода, code review, Ansible, Nginx, AWS S3, Google Cloud",,,"E-commerce, FinTech / Web3, AI / автоматизация документооборота",,Middle,,,,,,,"Русский — родной, Английский — B1 (чтение технической документации)",,
897919796,lapseni,free,free,False,True,2026-07-27,0,0,"Печать на сублимации (Epson A4, A3, широкоформатный 6FT, 1.6м), Печать на ДТФ (DTF Optimus Pro), Печать на экосольвентном оборудовании, Допечатная подготовка (pre-press) для цифровой печати, Работа в Adobe Photoshop (цветокоррекция, подготовка макетов, CMYK), Работа в Adobe Illustrator и CorelDRAW (подготовка макетов для лазерной резки), Работа в RIP-системе MainTop, Техническое обслуживание принтеров (чистка голов, разборка, смазка роликов), Контроль качества печати, Учёт расходных материалов, Создание принтов и мокапов для маркетплейсов, Работа с маркетплейсами (WB, Ozon, Яндекс), Честный знак, MS Excel, Adobe Acrobat","Оператор печати ДТФ, Оператор сублимационной печати, Оператор экосольвентной печати, Оператор широкоформатной печати",,,,Middle — около 5 лет совокупного опыта в печати и допечатной подготовке,,,,"{""cities"": [""Москва"", ""Малаховка (Московская область)""], ""countries"": [""Россия""], ""remote_ok"": false}",,,"Русский — родной, Английский — A2 (элементарный)",,
215284322,mayakushina,grandfather,grandfather,True,True,2026-06-16,35,13,"Управление digital-проектами для фармацевтических компаний (веб, CLM/eDetailing, контент, аналитика), Управление кросс-функциональной командой продакшена (дизайнеры, разработчики, копирайтеры), Расчёт смет и разработка планов работ, Постановка ТЗ и контроль качества результата, Планирование ресурсов и контроль дедлайнов, Клиентская коммуникация и согласование требований, Ведение 15+ проектов параллельно, Мониторинг клинических исследований (CRA) — ICH GCP, SOP, протоколы, Координация 13+ медицинских исследовательских центров, Верификация первичной документации и контроль данных в CRF (CTMS, EDC), Работа с Trial Master File / Investigator Site File (TMF/ISF), Кросс-функциональное взаимодействие (Data Management, Pharmacovigilance, Regulatory Affairs, Medical Affairs), Менторство и обучение новых сотрудников (CRA), Аналитика, ведение трекеров, отчётность по KPI и рискам, Координация спикеров и организация деловых мероприятий, Деловая коммуникация с внешними партнёрами, MS Word, Excel, PowerPoint, Outlook, CTMS, EDC","Project Manager в медицине / фарме / медтехе, Бизнес-ассистент / Ассистент руководителя","Clinical Research Associate, Clinical Trial Manager, Лаборант, Научный сотрудник, Менеджер по продажам, Sales Manager, Account Manager (с продажами)","Фармацевтика, Медтех, Медицина / здравоохранение, IT, Healthtech, Любые отрасли (открыта к PM-роли вне медицины)",,"Middle+ / Senior (около 6 лет суммарного опыта: 5,5 лет CRA в IQVIA/Amgen + Старший PM в Onpoint; медицинское образование — лечебное дело + менеджмент/маркетинг)",,,,"{""notes"": ""Проживает в СПб (м. Московские ворота). Офис — только в СПб, не более часа в пути. Удалёнка из любого города РФ — ок. К переезду не готова. Командировки — готова. Есть автомобиль, права кат. B."", ""cities"": [""Санкт-Петербург""], ""countries"": [""Россия""], ""remote_ok"": true, ""relocation"": false, ""business_trips_ok"": true}",,,"Русский — родной, Английский — B2 (Upper-Intermediate, подтверждён FCE Cambridge), Немецкий — A2","Хочет уйти из клинических исследований в управление проектами. Нравится сам PM-подход: структурировать процессы, работать по методологиям, организовывать работу в спринтах. Готова работать PM в разных индустриях, но медицина/фарма/медтех и IT — приоритет как области, где медицинский бэкграунд даёт фору. Важно: компания со выстроенными процессами, возможность роста, гибрид или удалёнка.",
1846009368,annakulik22,free,free,True,True,2026-07-01,13,0,"Go-to-market стратегии для tech и digital продуктов, Разработка бренд-платформы и позиционирования с нуля, Коммуникационные стратегии 360 (PR, реклама, influence, контент), AI-native маркетинг и внедрение ИИ в маркетинговую функцию, Стратегический маркетинг на международных рынках (СНГ, MENA, EU, USA), Performance и digital marketing (SEO, AEO, GEO, paid, SMM), Технологический скаутинг и трендвотчинг, Построение партнёрских экосистем с вендорами и госструктурами, Медицинский туризм и продвижение на рынках MENA/АТР, Нестандартные креативные спецпроекты и контент-кампании, Личный бренд и экспертные колонки (РБК Pro, Habr, Computerra), UX Strategy, ORM (Online Reputation Management)","Директор по стратегическому маркетингу и коммуникациям, CMO / Директор по маркетингу и PR","Event manager / организатор мероприятий, Operations manager, Merchandise / мерч-менеджер, Маркетолог в low-tech компании, Роль без бюджета и команды — всё делать руками самому","ИТ / Технологии, AI / Машинное обучение, Робототехника, Кибербезопасность, EdTech, HealthTech / Медтех, Fintech, Международный бизнес / Экспорт, E-commerce / Маркетплейсы",,C-level / Director (14 лет опыта),,,,"{""notes"": ""Не готова к переезду, готова к командировкам, желательное время в пути — не более часа"", ""cities"": [""Москва""], ""countries"": [""Россия""], ""remote_ok"": true}",,,"Русский — родной, Английский — C2 (в совершенстве), Иврит — B1 (средний)","Развитие нового: строить и выводить на рынок. Интересны технологии, робототехника, ИИ. Хочет работать внутри крупных успешных экосистем, на задачах связанных с брендом компании. Гибридный формат — без жёсткого офиса с утра до вечера.",
1333420754,vvetochkkaa,free,free,True,True,2026-08-17,8,0,"Работа с документами в Word, Создание презентаций, Обслуживание клиентов, Розничные продажи","Оператор ввода данных, Ассистент на удалёнке, Контент-менеджер, Модератор, Копирайтер",,,,junior / начинающий,,,,"{""cities"": [""Калининград""], ""countries"": [""Россия""], ""remote_ok"": true}",,,,"Хочет освоить удалённую работу, связанную с информацией: анализ, написание, редактирование, таблицы. Ищет спокойную структурированную занятость, которую можно совмещать с очной учёбой.",
