telegram_id,username,deliveries_30d,avg_score,max_score,expertise,target_roles,industries,languages,locations
1846009368,annakulik22,6,6.5,8.5,"Go-to-market стратегии для tech и digital продуктов | Разработка бренд-платформы и позиционирования с нуля | Коммуникационные стратегии 360 (PR, реклама, influence, контент) | AI-native маркетинг и внедрение ИИ в маркетинговую функцию | Стратегический маркетинг на международных рынках (СНГ, MENA, EU, USA) | Performance и digital marketing (SEO, AEO, GEO, paid, SMM) | Технологический скаутинг и трендвотчинг | Построение партнёрских экосистем с вендорами и госструктурами | Медицинский туризм и продвижение на рынках MENA/АТР | Нестандартные креативные спецпроекты и контент-кампании | Личный бренд и экспертные колонки (РБК Pro, Habr, Computerra) | UX Strategy | ORM (Online Reputation Management)",Директор по стратегическому маркетингу и коммуникациям | CMO / Директор по маркетингу и PR,ИТ / Технологии | AI / Машинное обучение | Робототехника | Кибербезопасность | EdTech | HealthTech / Медтех | Fintech | Международный бизнес / Экспорт | E-commerce / Маркетплейсы,Русский — родной | Английский — C2 (в совершенстве) | Иврит — B1 (средний),"Не готова к переезду, готова к командировкам, желательное время в пути — не более часа | ['Москва'] | ['Россия'] | True"
228263599,MAD_MAXIMUUS,6,8.42,9.0,"Kotlin | Java | Dart (Flutter) | SQL | Jetpack Compose | Android Views | Clean Architecture | Multi-module Architecture | MVI (MVIKotlin, Badoo Core) | MVVM | Kotlin Coroutines | Flow (StateFlow, SharedFlow) | RxJava | Dagger 2 / Hilt | Toothpick | Cicerone / Navigation | Retrofit | Gradle | JUnit / Mockk | Firebase Crashlytics | AppMetrica | 2Gis SDK | Memory profiling (LeakCanary, Android Studio Profiler) | Публикация релизов в Google Play",Senior Android Developer | Android Developer | Mobile Developer (Android/KMP),,"Русский (родной) | Английский B1 (чтение документации, переписка)","['Москва'] | ['Россия', 'зарубежные компании с релокацией'] | True | True | Готов к релокации для зарубежных компаний | True"
779974896,zerxus01,7,7.0,7.5,PHP (Laravel 10-12) | MySQL | Docker | Redis | RabbitMQ | бэкенд разработка | фулстек (PHP + Vue/React),PHP Backend Developer | PHP Fullstack Developer (PHP + Vue/React),Финтех | Геймдев / игровая индустрия,,"только удалёнка из дома | ['РФ', 'зарубежные компании'] | True"
5014819523,nastia_bashtovaia,8,8.12,9.5,"Полный цикл IT-рекрутмента | Сорсинг и активный хантинг (AmazingHiring, LinkedIn, Habr, hh.ru, getmatch, Boolean Search, X-Ray) | Проведение HR-скринингов и интервью по компетенциям | Снятие требований с нанимающих менеджеров | Работа с обратной связью и координация технических интервью | Согласование и презентация офферов | Ведение 10–15 активных вакансий одновременно (ATS: Хантфлоу, FriendWork) | Аналитика рынка и выстраивание стратегии поиска | Закрытие вакансий Middle/Senior уровня: Java, Go, C++, Python, JS, QA, Data Scientist, Team Lead",IT Рекрутер | Специалист по подбору персонала,Информационные технологии | Разработка программного обеспечения | Маркетинг и реклама,Русский — родной | Английский — B1,['Москва'] | True | True
112957319,romashkaevo,9,7.28,8.5,"Построение антифрод-систем с нуля (rule packs, transaction monitoring, risk scoring) | Написание и настройка detection rules: multi-accounting, bonus abuse, arbitrage betting, money cycling, affiliate fraud, chargeback fraud | Transaction monitoring frameworks: rule-based logic, velocity checks, behavioral analytics | Участие в обучении ML-моделей для детектирования фрода: feature selection, threshold tuning | PSP onboarding end-to-end: KYB, KYC, AML, UBO, Source of Funds, SOW | Проектирование payment flows для снижения acquirer и scheme risk | Compliance-документация: AML/KYC/UBO/SOF/SOW для high-risk и adult-продуктов | Работа с виртуальными кредитами/токенами (platform-only, non-transferable, non-monetizable) | Adult content compliance: FOSTA-SESTA, 18 U.S.C. § 2257, DSA, GDPR в платёжном контексте | Chargeback management: работа с правилами Visa и Mastercard, dispute lifecycle | Построение и масштабирование антифрод-команд с нуля: найм, онбординг, KPI, процессы | Risk assessment бизнес-моделей и payment flows | Поведенческая аналитика, device fingerprinting, IP-анализ | SQL — уверенный пользователь | Инструменты: Sift, Sumsub, Ondato, Jira, Confluence | Управление командой до 10+ человек, включая удалённых | Построение процессов расследования инцидентов и эскалации | Payment architecture audit, MCC restrictions, country-level controls | Перевод сложного продукта на PSP-friendly язык для целей комплаенса",Head of Anti-Fraud | Head of Risk | Head of Risk and Anti-Fraud | Руководитель антифрод-подразделения | Руководитель отдела риск-менеджмента,Fintech | Payments | Gambling / iGaming | Banking | High-risk merchant | Adult platforms,"Русский — родной | Английский — базовый/пассивный (предпочитает позиции, где английский не требуется или нужен минимально)",['Санкт-Петербург'] | True | True | True
1349068073,chubukoff,9,7.78,9.0,"IT и Digital рекрутмент (точечный подбор) | Executive Search (C-level, руководители) | Выстраивание процессов подбора с нуля | Технический скрининг кандидатов (понимание IT-стека) | Оценка кандидатов (STAR, PARLA, метод критических инцидентов) | Работа с ATS (Huntflow, Huntio) | Аналитика воронки найма и метрики рекрутмента | Внедрение AI-инструментов в рекрутмент (ChatGPT, Claude, tl;dv) | Кадровый резерв и employer branding | Менторинг junior-рекрутеров | HR Generalist (адаптация, оценка 360, мотивация, KDП)",Senior IT Recruiter | Lead IT Recruiter | Senior Digital Recruiter | Head of Recruitment,Информационные технологии | Продуктовые IT-компании | SaaS / B2B-сервисы | Fintech | EdTech | Маркетплейсы | Бигтех,Русский — родной | Английский — B2,"Готов к переезду, готов к редким командировкам | ['Саратов'] | ['Россия'] | True"
503188380,nikdim_03,14,7.0,8.5,Android разработка (Kotlin/Java) | Разработка мобильных SDK | Web3 / TON blockchain | Криптовалюты и крипто-кошельки | RPC-взаимодействие между мобильными клиентами и JS бэкендом | Работа в кросс-платформенных командах (Android + iOS),,,,"Цифровой номад, путешествует по миру. Резидент Парагвая. Может открыть ИП в России или Грузии. Нет визы в США — нужно уточнять условия найма у американских компаний. | ['Paraguay', 'Georgia', 'Russia'] | True"
453565153,classistrip,16,6.62,7.5,проектный менеджмент | управление корпоративными клиентами | подготовка коммерческих предложений | бюджетирование и документооборот | аналитика и бенчмаркинг рынков недвижимости | подготовка отчётов и презентаций | пространственный анализ (QGIS) | урбанистика и городское планирование | взаимодействие с партнёрами и подрядчиками | Excel | PowerPoint | Figma,операционный менеджер | аккаунт-менеджер | продюсер пространств | менеджер по строительным процессам | менеджер проектов | менеджер спецпроектов,урбанистика и городское планирование | девелопмент и недвижимость | экология и устойчивое развитие | консалтинг | креативные индустрии,Русский — родной | Английский — B2,['Екатеринбург'] | ['Россия'] | True
5490279999,JuliaV2107,17,6.71,9.0,Филология | Лингвистика | Компьютерная лингвистика / NLP | Научные исследования и публикации | Разработка учебных курсов | Работа с текстом,"Автор | Лингвист в NLP-команде | Автор публикаций в области искусства, культуры, литературы и лингвистики | Редактор научно-популярных текстов",,"Русский — родной, профессиональный (написание текстов) | Английский — чтение научных текстов",['Казань'] | ['Россия'] | True | периодические встречи
170928445,karinaasp,18,6.67,8.5,стратегический маркетинг | управление командой (до 20 человек) | мультиканальное продвижение | продуктовый маркетинг | управление рекламным агентством | построение и управление отделом продаж | глубинные интервью и анализ рынка | фандрайзинг | продюсирование экспертов | HR fintech B2B2C | edtech | fintech | международный и российский рекламный рынок | рост числа платящих клиентов | большие рекламные кампании,Team Lead Marketing | Head of Marketing | Marketing Director | Director of Growth,EdTech | FinTech | HR Tech | IT,"Русский — родной | Английский — Intermediate (B1, не практикует активно)","Нужна русскоязычная команда, работает удалённо из-за рубежа | ['зарубежье (страна не определена)'] | True"
326911232,Tyrnavska,19,7.68,9.0,"Product marketing (positioning, messaging, GTM) | Go-to-market execution for B2B SaaS | Cross-functional project coordination (Product, Design, Sales, SEO, Leadership) | Customer research and JTBD analysis | Adoption campaigns and lifecycle marketing | Product repositioning and product-market fit | Analytics and reporting (Mixpanel, Google Analytics) | SEO coordination (SEMrush) | Event and community building from scratch | Process design and operational setup | SMM and PR | Client acquisition","Product Marketing Manager | Marketing Project Manager | Marketing Project Coordinator | Marketing Programme Manager | Project Coordinator | Program Coordinator | Marketing + Sales hybrid (inbound-focused) | Account Executive (inbound) | Business Development (inbound) | Producer | Content Manager (с командой, не руками)",Travel / путешествия | Wellness | Здоровье (без фармы и БАДов) | Психология и ментальное здоровье | EdTech / обучение | Женские сообщества и комьюнити,"Русский — native | Украинский — native | Английский — B2 (рабочий, без языкового барьера, ежедневное использование)","['Lisbon', 'Porto', 'Bangkok'] | ['Portugal', 'Thailand'] | True"
361850149,qqnastas,20,6.65,8.5,"Координация операционных и продуктовых процессов | Кросс-функциональное взаимодействие (бизнес, разработка, маркетинг, контент) | Запуск новых продуктов и партнёрских интеграций | Сопровождение API-интеграций | Оптимизация и автоматизация процессов | Работа с BI-системами и аналитика бизнес-показателей | Управление задачами и документацией (Jira, Notion, Miro) | SQL (базовый уровень) | CMS (ModX) | Prompt engineering / работа с AI-инструментами | Google Sheets / MS Excel | Bitrix24, YouGile | UAT, product discovery, product documentation",Operations & Project Coordinator | Product Operations | Operations Manager | Integration Coordinator | Junior Product Manager | Business Analyst (с фокусом на процессы и кросс-функциональное взаимодействие),Travel-tech | iGaming | Fintech | Entertainment | SaaS | Цифровые продукты,Русский — родной | English — C1 | German — B2 | Korean — B1 | Hebrew — A2,"['Санкт-Петербург'] | ['Россия', 'Европа', 'Кипр'] | True | True | Релокация — возможность, а не ограничение. Приоритет: Европа и Кипр. США не рассматривает."
358902713,R_Galaa,23,7.02,9.0,Figma | Tilda | Adobe (Photoshop/Illustrator) | веб-дизайн | редизайн сайтов | создание афиш и визуальных материалов | СММ | стилистика,веб-дизайнер | UI/UX дизайнер,мода / fashion | EdTech / онлайн-образование,,
719692438,dashakulikovaa,25,7.14,8.5,"Копирайтинг (SEO-статьи, коммерческие тексты, медицинская тематика) | Редактура и корректура текстов | SMM (контент-планы, публикации, модерация) | Контент-менеджмент (управление командой, контент-стратегия, Tone of Voice) | Написание сценариев для Shorts/Reels | Закупка рекламы в Telegram (TGstat, Telemetr) | Работа с Tilda (наполнение сайта) | Базовый графический дизайн (Figma) | Базовый видеомонтаж (CapCut, Adobe Premiere) | Работа с большим объёмом информации, поиск и структурирование данных",Копирайтер | Пишущий редактор | Контент-менеджер | Журналист/корреспондент | Медицинский копирайтер | Head of Content,Медицина / здравоохранение | Фармацевтика | Финтех / банки / инвестиции | IT | СМИ / медиа | Маркетинг / реклама,Русский — родной | Английский — B1,['Санкт-Петербург'] | ['Россия'] | True | True | True
220760442,emnote,26,7.08,8.5,B2B copywriting | Blog writing | LinkedIn content | Email newsletters | Press releases | Guest posting | eCommerce content | Cryptocurrency content | IT content | Programmatic advertising content,Copywriter | Content Writer | Content Editor | Content Manager | Technical Writer | Blog Writer | Email Copywriter,B2B | eCommerce | Cryptocurrency | IT | Programmatic Advertising | Art | Literature,"English C1 (working language, writing) | Russian (native, prefers not to write professionally)","['London'] | ['United Kingdom', 'Any (remote)'] | True"
313894991,kamil709,27,7.17,9.0,Java | Kotlin | Backend разработка | Архитектура систем,Senior Backend Developer,Финтех | Банки,,['Россия'] | True
8208559481,awiiq88,28,6.39,8.5,"Платежные операции (крипто, P2P, USDT) | Антифрод-системы и AML / Fraud Prevention | Мониторинг транзакций и сверки | Автоматизация процессов (n8n, SQL) | Low-code / no-code разработка (Webflow, Tilda) | API-интеграции и разработка AI-ботов | UX/UI дизайн | Веб-разработка | Продуктовое мышление и участие в разработке продукта на early-stage | KYC/AML-операции | Web3, DeFi, NFT-трейдинг, криптобиржи | CRM-интеграции | Операционное управление",,FinTech | Крипто / Web3 / DeFi | Платёжные системы | Комплаенс / AML / KYC,"Русский (родной) | Английский (B1+/B2, рабочий уровень)",['Бали'] | ['Индонезия'] | True
575840515,kucherovaanyaa,29,6.98,9.5,"продуктовый маркетинг | growth-маркетинг | рост метрик по всей воронке AARRR | запуск промо-акций и распродаж | A/B тесты и разработка гипотез | CRM-маркетинг и омниканальные кампании | сегментация аудитории | GTM-стратегия | работа с программами лояльности | спецпроекты и партнёрские проекты | кросс-функциональная координация (продукт, аналитика, разработка, дизайн) | позиционирование и упаковка смыслов | продуктовая аналитика | CJM | JTBD | Яндекс.Метрика | data-driven маркетинг | управление проектами end-to-end",Продуктовый маркетолог,EdTech | Travel | E-commerce,Русский — родной | Английский — C1 (продвинутый),"Проживает в Москве. Не готова к переезду, готова к командировкам. Работа из России — обязательное условие. Приоритет: российские компании или международные компании, официально разрешающие работу из РФ. Вакансии только для США/Европы без возможности работы из РФ — не подходят. | ['Москва'] | True"
367018080,alekseevaksunya,33,6.73,9.0,"Рекрутинг респондентов для UX/CX-исследований (полный цикл) | Управление воронкой рекрутинга и оптимизация конверсии | Ведение нескольких проектов параллельно (до 7 в неделю) | Работа со сложными целевыми аудиториями (crypto/web3, международный рынок) | Операционное ведение проектов в Jira и Confluence | Анализ метрик (конверсия отклика, доходимость, эффективность каналов) | Разработка регламентов, шаблонов и базы знаний команды | Обучение и наставничество сотрудников | Кросс-функциональное взаимодействие | Работа с CRM-системами | A/B-подход к коммуникациям",Research Operations Specialist | Project Manager (IT) | Руководитель проектов,E-commerce | Международные технологические компании,Русский — родной | Английский — B2 | Испанский — A1 | Французский — A1,['Санкт-Петербург'] | True | True | офис не более 30 минут на общественном транспорте от проспекта Большевиков
1328983336,mill_corn,42,6.27,8.5,"Бренд-менеджмент и развитие бренда | PR-стратегия и реализация PR-кампаний | Вывод брендов на маркетплейсы (e-commerce) | Разработка рекламных и визуальных материалов | Копирайтинг и написание пресс-релизов | Медиапланирование | Работа с данными: Google Analytics, Yandex.Metrica, Power BI | Анализ финансовой отчётности и аудит | Исследования рынка | Digital Marketing",Бренд-менеджер | PR-менеджер | Маркетолог-аналитик | Менеджер по маркетингу | Интернет-маркетолог,Спорт | Wellness | Загородные отели | Онлайн-школы | Туризм | СПА | Косметика/beauty,Русский — родной | Английский — B2 | Украинский — C1 | Французский — B1,['Москва'] | ['Любая страна'] | True | True
581066826,MorozovaAsya,54,6.4,8.5,"Запуск и масштабирование образовательных продуктов (EdTech) | Продюсирование онлайн-курсов полного цикла | Управление портфелем продуктов (50+ спецпроектов) | Построение кросс-функциональных команд | Разработка воронок продаж и конверсионных цепочек | Маркетинговая стратегия и оптимизация бюджетов | Антикризисное управление и оптимизация процессов | Коллаборации с крупными федеральными брендами | Управление YouTube-продакшеном и контент-стратегия | Вывод образовательных продуктов на международные рынки | Приоритизация гипотез, CJM, ведение бэклога | Работа с SMM и вирусными форматами (Reels) | Анализ рынка и юнит-экономика | Генерация гипотез и поиск точек роста | Создание концепции продукта | Ведение и запуск проектов полного цикла | Анализ показателей и результатов",Product Manager | Продюсер спецпроектов | Performance-менеджер | Project Manager | Продакт полного цикла | Продюсер бесплатных продуктов | Продюсер бесплатной воронки,EdTech | онлайн-образование | медиа | контент-продукты | православные проекты и НКО | дизайн-студии,Русский — родной | Английский — B2,True
267651211,elyacheba,54,6.54,7.5,"Редактура и копирайтинг | Написание инструкций и регламентов (Confluence) | Управление контентом и командой редакторов | Деловая коммуникация и переговоры | Презентации и визуализация информации (Figma, PowerPoint) | Работа с партнёрами и заказчиками (b2b, b2c) | Онбординг и обучение сотрудников | Продажи и консультирование клиентов | Аналитическое мышление, работа с большим объёмом информации",Редактор | Контент-менеджер | Комьюнити-менеджер | Специалист по внутренним коммуникациям | Event-менеджер (с коммуникационной составляющей) | PR-менеджер,Спорт | Музыка | Event-индустрия | Entertainment,Русский — родной | Английский — A2 | Испанский — A1,"Проживает в Краснодаре, готова работать удалённо на московские и другие компании | ['Краснодар', 'Москва'] | ['Россия'] | True"
420630309,senatorous,58,6.8,8.5,"SQL | Python | A/B testing | Statistics | Dashboards (Tableau, Power BI) | Metrics/OKRs | Team leadership & mentoring | Stakeholder management | Storytelling with data | Forecasting | Data platform / DWH | Cross-functional collaboration",,Fintech | E-commerce,Русский (native) | Английский (C1),
708295101,puniapple,63,6.38,8.5,"Развитие бизнеса (Business Development) | Запуск новых направлений и продуктов | Выход в новые ниши | Рыночный рисёрч и анализ рынка | Проектирование бизнес-моделей | Проектирование пути пользователя и тестов | A/B-тестирование и анализ результатов | Unit-экономика | Discovery | Экономическая оценка проектов (M&A, 3P-партнёрства) | Кросс-функциональное управление | Управление партнёрствами | Переговоры Top2Top | Медиапланирование и маркетинговые метрики","Growth Manager / Head of Growth | New Ventures | Head of New Products | Product Strategy (продуктовая / рыночная, не корпоративная)","AdTech / рекламные инструменты | EdTech (онлайн-обучение, корпоративное образование, не классические школы/вузы)","Русский — родной (приоритет на русскоязычные команды) | Английский — пассивный, не готова работать на английском языке","Рассматривает релокацию, но приоритет на русскоязычные команды без требования английского в работе | True | True"
